N,seed_qsk,exact_energy,exact_S_2,exact_S_vN
14,1234,-14.764653510748111,0.2383969452143051,0.5231969947653002
14,4444,-14.762866099617051,0.2415838395153361,0.5273811179283309
14,5678,-14.784241858715378,0.249585827612072,0.5412753735383342
14,6666,-14.88476065070784,0.3006599559375795,0.6122306813867503
14,9012,-14.777943671992196,0.2231099964419955,0.4693086271377965
14,9999,-15.419419320298228,0.4020531118728243,0.7466672763097435
16,1234,-16.992466620401174,0.2451797587222944,0.5534980288506884
16,4444,-16.94662004356136,0.2259199997971368,0.529473793104022
16,5678,-17.1011752472816,0.406380068664494,0.7034906096662287
16,6666,-17.079819775977594,0.257172083796775,0.5448649397247126
16,9012,-16.823153170422675,0.2270771216974935,0.5135191701535179
16,9999,-17.128633052381637,0.3969245358303743,0.7701609197222354
18,1234,-18.989854167965447,0.2544549351798469,0.5936869713256312
18,4444,-19.142462863617645,0.3615908389814704,0.7186227789186767
18,5678,-18.9957772006896,0.2836522492326092,0.6551635279601105
18,6666,-19.192266954235546,0.3249216165830939,0.6659722282348226
18,9012,-18.97681700724644,0.2896903835974438,0.6563872374500545
18,9999,-19.729642431902963,0.4947074753099342,0.8238044032973745
20,1234,-21.1663800142928,0.3198439054290981,0.7141973255103209
20,4444,-21.069415495078538,0.2825164776282744,0.652132375434522
20,5678,-21.24593023910437,0.3176939737211979,0.6729965723459513
20,6666,-21.45049999471213,0.4877315694897076,0.9092581973574092
20,9012,-21.31642826860162,0.3566132682762068,0.7620067037113772
20,9999,-21.84264766738098,0.5036948465350262,0.9457720783502374
22,1234,-23.306757028336385,0.3403310137969895,0.7501252657878809
22,4444,-23.524750410298843,0.5425370454610042,1.042305103866446
22,5678,-23.227276106212592,0.3896160295870614,0.8401514502779628
22,6666,-23.37501660037208,0.3746627003918857,0.8315562989776838
22,9012,-23.425041363706534,0.4279849951550871,0.8815387747176219
22,9999,-23.80634516756028,0.4515028680208754,0.8907376195810993
24,1234,-25.4248545016577,0.4575648295014191,0.9293802555431134
24,4444,-25.58284425135906,0.4730112445216605,0.9550186109144908
24,5678,-25.342593052507944,0.3056264442169654,0.7104227778586181
24,6666,-25.910861961129346,0.5399693170980882,1.0219050676615096
24,9012,-26.04481178176722,0.7107866460607368,1.1175301909900486
24,9999,-25.56218552546566,0.4774720065493347,1.0155002318021225
