N,seed_qsk,seed_nqs,model,energy,rel_energy_error,energy_variance
14,1234,,Exact GS,-14.764653510748113,0.0,0.0
14,1234,101.0,RBM (Euclidean),-14.761476858434582,0.0002151525134821859,0.021786146726611832
14,1234,101.0,HRBM (Hyperbolic),-14.760713082029845,0.0002668825729909319,0.027058079285524173
14,1234,202.0,RBM (Euclidean),-14.758577854923363,0.0004115000613002713,0.037651121644614705
14,1234,202.0,HRBM (Hyperbolic),-14.761986828341328,0.00018061259648549627,0.020216229280492826
14,1234,303.0,RBM (Euclidean),-14.758886544076226,0.0003905927536795079,0.03735417745312475
14,1234,303.0,HRBM (Hyperbolic),-14.762984789663893,0.00011302135082313789,0.013049146856701554
14,1234,404.0,RBM (Euclidean),-14.748049075945392,0.0011246071430415618,0.090978251191558
14,1234,404.0,HRBM (Hyperbolic),-14.762158108577214,0.00016901190191035518,0.019400160480927298
14,1234,505.0,RBM (Euclidean),-14.747524967064203,0.0011601046832179968,0.09524920402398607
14,1234,505.0,HRBM (Hyperbolic),-14.7531043609909,0.0007822161047535576,0.05346405532884546
14,4444,,Exact GS,-14.762866099617053,0.0,0.0
14,4444,101.0,RBM (Euclidean),-14.758695264715135,0.0002825220301921378,0.028706997661259948
14,4444,101.0,HRBM (Hyperbolic),-14.760519002848497,0.00015898652421002718,0.017805070506767606
14,4444,202.0,RBM (Euclidean),-14.76152233707846,9.102314750571656e-05,0.010122957814928668
14,4444,202.0,HRBM (Hyperbolic),-14.760725214021548,0.00014501828988076483,0.01677355486569354
14,4444,303.0,RBM (Euclidean),-14.759310020379768,0.00024088000346877714,0.025004560300089906
14,4444,303.0,HRBM (Hyperbolic),-14.761113046960485,0.00011874744678564566,0.013840087265549528
14,4444,404.0,RBM (Euclidean),-14.758721510443815,0.00028074420950995787,0.029172963279194164
14,4444,404.0,HRBM (Hyperbolic),-14.760656844634076,0.00014964946292067463,0.01699445041316494
14,4444,505.0,RBM (Euclidean),-14.760838217968693,0.00013736368227388148,0.015179563329866141
14,4444,505.0,HRBM (Hyperbolic),-14.76052200569045,0.00015878311913045142,0.01763010277281296
14,5678,,Exact GS,-14.784241858715378,0.0,0.0
14,5678,101.0,RBM (Euclidean),-14.781617402726395,0.0001775171168101125,0.019364149125294716
14,5678,101.0,HRBM (Hyperbolic),-14.781279922422291,0.00020034414489374265,0.022204253655786488
14,5678,202.0,RBM (Euclidean),-14.782262720261313,0.00013386810585068313,0.014850648158642343
14,5678,202.0,HRBM (Hyperbolic),-14.781591161414262,0.00017929206830128786,0.020475173307346495
14,5678,303.0,RBM (Euclidean),-14.780974604230664,0.0002209957410015835,0.023571571025428284
14,5678,303.0,HRBM (Hyperbolic),-14.781827002643531,0.00016333986517020133,0.01903944329833962
14,5678,404.0,RBM (Euclidean),-14.782370948862386,0.00012654756807083223,0.014046939931887437
14,5678,404.0,HRBM (Hyperbolic),-14.781718333937267,0.00017069017148303535,0.019891840903511593
14,5678,505.0,RBM (Euclidean),-14.781360063713173,0.00019492342114966392,0.020752854265339238
14,5678,505.0,HRBM (Hyperbolic),-14.781864484665217,0.0001608045967375205,0.018598232691829253
14,6666,,Exact GS,-14.88476065070784,0.0,0.0
14,6666,101.0,RBM (Euclidean),-14.878887680801608,0.00039456260292318414,0.04025547547357178
14,6666,101.0,HRBM (Hyperbolic),-14.881940189032747,0.0001894865319825293,0.02165465109442266
14,6666,202.0,RBM (Euclidean),-14.881240413292106,0.00023649943041347186,0.025410396544003788
