N,seed_qsk,seed_nqs,model,S_2,S_vN
20,1234,,Exact GS,0.31984390542909813,0.7141973255103209
20,1234,101.0,RBM (Euclidean),0.3074144265666207,0.6951977656144844
20,1234,101.0,HRBM (Hyperbolic),0.31967388591511636,0.710796239050087
20,1234,202.0,RBM (Euclidean),0.31284139494719093,0.7044721253872855
20,1234,202.0,HRBM (Hyperbolic),0.3191752587597768,0.7095035182131715
20,1234,303.0,RBM (Euclidean),0.3026756720511346,0.6869078545558007
20,1234,303.0,HRBM (Hyperbolic),0.3180598031274743,0.7078350503450103
20,1234,404.0,RBM (Euclidean),0.3140597089265769,0.705649087091269
20,1234,404.0,HRBM (Hyperbolic),0.3194940523354156,0.7098182784255562
20,1234,505.0,RBM (Euclidean),0.3121976118269599,0.7029444554694412
20,1234,505.0,HRBM (Hyperbolic),0.31968020118370827,0.7101923424676952
20,4444,,Exact GS,0.2825164776282744,0.652132375434522
20,4444,101.0,RBM (Euclidean),0.27786202271606314,0.643064691778652
20,4444,101.0,HRBM (Hyperbolic),0.2829950829206116,0.6496911049739296
20,4444,202.0,RBM (Euclidean),0.2777065718162919,0.644276362575056
20,4444,202.0,HRBM (Hyperbolic),0.2820111810608141,0.6486190232615506
20,4444,303.0,RBM (Euclidean),0.27837704481957803,0.6440411921759718
20,4444,303.0,HRBM (Hyperbolic),0.2819084672994501,0.6481365372023455
20,4444,404.0,RBM (Euclidean),0.27895684007175725,0.6447765442208283
20,4444,404.0,HRBM (Hyperbolic),0.2772390681120441,0.6407820964568262
20,4444,505.0,RBM (Euclidean),0.2792032985647728,0.647230930180437
20,4444,505.0,HRBM (Hyperbolic),0.2810137883102653,0.6463530130828722
20,5678,,Exact GS,0.3176939737211979,0.6729965723459513
20,5678,101.0,RBM (Euclidean),0.31561986387679647,0.6691823405624242
20,5678,101.0,HRBM (Hyperbolic),0.31847300641655113,0.6719962627076229
20,5678,202.0,RBM (Euclidean),0.31429844467316254,0.6680493692785717
20,5678,202.0,HRBM (Hyperbolic),0.3176313744031863,0.6709183311491319
20,5678,303.0,RBM (Euclidean),0.31324738041003797,0.6661159852807143
20,5678,303.0,HRBM (Hyperbolic),0.2929107558655131,0.6349717929338026
20,5678,404.0,RBM (Euclidean),0.3133675266970208,0.6664938087534888
20,5678,404.0,HRBM (Hyperbolic),0.3181522438993413,0.6719238857967066
20,5678,505.0,RBM (Euclidean),0.30740958530991613,0.655003737508273
20,5678,505.0,HRBM (Hyperbolic),0.31663334047200253,0.6693121032287891
20,6666,,Exact GS,0.4877315694897076,0.9092581973574091
20,6666,101.0,RBM (Euclidean),0.4848225356086997,0.9030421194271091
20,6666,101.0,HRBM (Hyperbolic),0.4852303310731583,0.9031718026040048
20,6666,202.0,RBM (Euclidean),0.4842142410918436,0.9012543229422879
20,6666,202.0,HRBM (Hyperbolic),0.4857248419445949,0.9022835221472049
20,6666,303.0,RBM (Euclidean),0.484687154177614,0.9015283242846441
20,6666,303.0,HRBM (Hyperbolic),0.4869864859749775,0.9042758978557388
20,6666,404.0,RBM (Euclidean),0.48509654884219894,0.9047868392128238
20,6666,404.0,HRBM (Hyperbolic),0.4831063761309462,0.9000955528985088
20,6666,505.0,RBM (Euclidean),0.48359465121000383,0.89452948369132
20,6666,505.0,HRBM (Hyperbolic),0.4840690468038665,0.9009350429721374
20,9012,,Exact GS,0.3566132682762068,0.7620067037113772
20,9012,101.0,RBM (Euclidean),0.35317325563688445,0.7548578529970033
20,9012,101.0,HRBM (Hyperbolic),0.35647822592407274,0.7590719192029366
20,9012,202.0,RBM (Euclidean),0.351220163918637,0.7514180073792815
20,9012,202.0,HRBM (Hyperbolic),0.3565664839203336,0.7589072617780244
20,9012,303.0,RBM (Euclidean),0.35386025801048265,0.7579628435425448
20,9012,303.0,HRBM (Hyperbolic),0.3569925768676266,0.7596601817180052
20,9012,404.0,RBM (Euclidean),0.3533725607509633,0.7571341999159541
20,9012,404.0,HRBM (Hyperbolic),0.3567506306197735,0.7590645193909724
20,9012,505.0,RBM (Euclidean),0.35394508690769066,0.7556949177193558
20,9012,505.0,HRBM (Hyperbolic),0.35644957870090194,0.7591391980977892
20,9999,,Exact GS,0.5036948465350262,0.9457720783502374
20,9999,101.0,RBM (Euclidean),0.5005655438876525,0.9397805333969794
20,9999,101.0,HRBM (Hyperbolic),0.48761701814619135,0.9214348322381498
20,9999,202.0,RBM (Euclidean),0.501494594320424,0.9418120809092974
20,9999,202.0,HRBM (Hyperbolic),0.5030788645136717,0.9405085178380723
20,9999,303.0,RBM (Euclidean),0.5000760287204761,0.9420134727503207
20,9999,303.0,HRBM (Hyperbolic),0.5022192392268833,0.9400912537077656
20,9999,404.0,RBM (Euclidean),0.5009889774597891,0.9392851558042458
20,9999,404.0,HRBM (Hyperbolic),0.5024803421920098,0.9389339300210421
20,9999,505.0,RBM (Euclidean),0.5027551935801315,0.9446723893327454
20,9999,505.0,HRBM (Hyperbolic),0.49912045646663294,0.9352776482570782
