N,Lmax,seed_qsk,seed_nqs,schmidt_index,exact_lambda,rbm_lambda,hrbm_lambda
24,20,1234,101,1,0.7885749753866427,0.7900238297695634,0.7889871232996264
24,20,1234,101,2,0.09030123501955803,0.09004134866818084,0.09063771821877514
24,20,1234,101,3,0.04236879794485142,0.04232556591386971,0.04260665782616615
24,20,1234,101,4,0.02672370945420437,0.026403314478639476,0.026713813631639428
24,20,1234,101,5,0.012186859578362446,0.011885466736450622,0.012244384302909462
24,20,1234,101,6,0.008590911638737446,0.008320516604441672,0.008588555267937894
24,20,1234,101,7,0.005998815371986082,0.0061044478990840674,0.006006910963561212
24,20,1234,101,8,0.004219894132961293,0.0041846220274933945,0.004144528980399362
24,20,1234,101,9,0.00311501154353975,0.003102197248154426,0.0031405388523187343
24,20,1234,101,10,0.002359318343194695,0.0023766194776502353,0.002300298208255224
24,20,1234,101,11,0.002161123467000672,0.0021809096565780744,0.0021785991705628224
24,20,1234,101,12,0.0019273128655423702,0.0018427422548704514,0.0018131175678130927
24,20,1234,101,13,0.0017729557460666142,0.0015813849117536697,0.0017227231406771054
24,20,1234,101,14,0.0013314054916843219,0.0012918774842951902,0.001194447485473004
24,20,1234,101,15,0.0010100942672883848,0.000991856398962457,0.000947023654694221
24,20,1234,101,16,0.0008754020777704967,0.0008658337903880354,0.0007975494690667321
24,20,1234,101,17,0.0008022247508873,0.0007446146979997567,0.0007910995720237746
24,20,1234,101,18,0.0006262345598944848,0.0006525558648579024,0.0005940364144617517
24,20,1234,101,19,0.0005993004465314534,0.0006023236259189947,0.00053200689094646
24,20,1234,101,20,0.000444524532479337,0.0004269009188425635,0.00041591447003343625
24,20,1234,101,21,0.0003575802134579001,0.00035673754967304654,0.0003283412744644746
24,20,1234,101,22,0.00034012879008234686,0.0003321011661151467,0.00031827893413119196
24,20,1234,101,23,0.00027887752025177354,0.0002717208075578498,0.00025901534555661606
24,20,1234,101,24,0.00024238668930613575,0.00025107202598157,0.00021818035909722917
24,20,1234,101,25,0.00023168551665263468,0.00023719320298728425,0.00020932762252698714
24,20,1234,101,26,0.0002071485356463626,0.0002153367577260525,0.00017492392337766324
24,20,1234,101,27,0.00017680450327170043,0.0001696201401122686,0.00016320787038287096
24,20,1234,101,28,0.00015697280529300019,0.00015357391336666998,0.00015261640193609075
24,20,1234,101,29,0.00013704639397201838,0.00013873715187664721,0.00012362522238151634
24,20,1234,101,30,0.00012393526614612246,0.0001332021837463466,0.00012018166797561175
24,20,1234,101,31,0.0001095114455304556,0.00011623448521325065,0.00010738865601150424
24,20,1234,101,32,0.00010573397881655821,0.00011218680094148622,9.306471425950448e-05
24,20,1234,101,33,9.65385587817533e-05,0.00010290103000715707,9.186487517257132e-05
24,20,1234,101,34,9.38806775699637e-05,9.909080052587484e-05,8.887180423507691e-05
24,20,1234,101,35,8.634740018665667e-05,9.184965824033373e-05,7.667822760713174e-05
24,20,1234,101,36,7.667911389978938e-05,7.240245390455457e-05,6.990749715365755e-05
24,20,1234,101,37,7.484766098607746e-05,6.99640402612931e-05,6.776385997926575e-05
24,20,1234,101,38,6.732382127075612e-05,6.809341213732618e-05,6.235904335073202e-05
24,20,1234,101,39,5.94519861828692e-05,6.114188054864836e-05,5.335381249692188e-05
24,20,1234,101,40,5.634618566827618e-05,5.474772391289993e-05,4.927033244199311e-05
24,20,1234,101,41,4.8130905781562244e-05,5.094816323204691e-05,4.691343064960689e-05
24,20,1234,101,42,4.665598035126479e-05,4.1771473797816204e-05,4.07677726437445e-05
24,20,1234,101,43,4.1781799872203e-05,4.061382845735491e-05,3.8627688732014306e-05
24,20,1234,101,44,4.0055267208889206e-05,3.90359368701745e-05,3.5406110207687946e-05
24,20,1234,101,45,3.4899159576916045e-05,3.5691112946666506e-05,3.323401306160418e-05
24,20,1234,101,46,3.451512156485509e-05,3.3990995954925246e-05,3.1284739967153273e-05
24,20,1234,101,47,3.2362463812959576e-05,3.350755035303776e-05,2.9909995214524765e-05
24,20,1234,101,48,3.1766665338317366e-05,3.2228765482668636e-05,2.8145731047102793e-05
24,20,1234,101,49,2.9776904714882506e-05,2.971146332156781e-05,2.79772492991827e-05
24,20,1234,101,50,2.7180565686175874e-05,2.7276626234443507e-05,2.512585350457364e-05
24,20,1234,101,51,2.670677531595175e-05,2.6653426815961975e-05,2.376980389803479e-05
24,20,1234,101,52,2.6177042159268156e-05,2.566132667218658e-05,2.1760651245161336e-05
24,20,1234,101,53,2.5085085737791508e-05,2.5395917632073595e-05,2.076822292463994e-05
24,20,1234,101,54,2.1958927807875086e-05,2.364775806899724e-05,2.0346021400308237e-05
24,20,1234,101,55,2.094889700668278e-05,2.0993295784665716e-05,1.8494274048364032e-05
24,20,1234,101,56,2.0671052611951707e-05,2.0438406075074987e-05,1.6772056838359124e-05
24,20,1234,101,57,1.935704691662281e-05,1.820190514574409e-05,1.6710516010837508e-05
24,20,1234,101,58,1.747531968323656e-05,1.622228121497613e-05,1.5579936852750943e-05
24,20,1234,101,59,1.6562110491368288e-05,1.5753566127381702e-05,1.4754428541167313e-05
24,20,1234,101,60,1.578805792570589e-05,1.5134232679194178e-05,1.4331902515600439e-05
24,20,1234,101,61,1.5323736490137718e-05,1.4935345073407555e-05,1.3070262837953932e-05
24,20,1234,101,62,1.4222127767714403e-05,1.4299770637719069e-05,1.3003649458847933e-05
24,20,1234,101,63,1.3454495542340222e-05,1.3909336437627024e-05,1.2518829074614047e-05
24,20,1234,101,64,1.3329388072674697e-05,1.3399489649372421e-05,1.1232506564603248e-05
24,20,1234,101,65,1.2875385574489857e-05,1.2686120344034778e-05,1.0223821716822624e-05
24,20,1234,101,66,1.1319736902351938e-05,1.2026085785765337e-05,9.522999046088962e-06
24,20,1234,101,67,1.1201034642377893e-05,1.1737110175187907e-05,9.240038840866146e-06
24,20,1234,101,68,1.08229264579735e-05,1.0794117573489488e-05,9.019391266176667e-06
24,20,1234,101,69,1.0112396391606197e-05,1.0381712123214248e-05,8.424315467545376e-06
24,20,1234,101,70,9.300191616669762e-06,9.875200631640432e-06,8.004991424094092e-06
24,20,1234,101,71,8.927037862225736e-06,9.742129537387318e-06,7.973944715597227e-06
24,20,1234,101,72,8.896399979735677e-06,9.185465378238957e-06,7.085816729699859e-06
24,20,1234,101,73,8.224271950380204e-06,8.225265411253042e-06,6.7392539695275975e-06
24,20,1234,101,74,7.5185637763399145e-06,7.775284807396179e-06,6.494966242749171e-06
24,20,1234,101,75,7.497195041455983e-06,7.569095613535543e-06,6.441685516874423e-06
24,20,1234,101,76,7.329098905058933e-06,7.5622281326860935e-06,5.738108014094908e-06
24,20,1234,101,77,5.995693333991266e-06,7.127105836256122e-06,5.6088995374568024e-06
24,20,1234,101,78,5.902289366647368e-06,6.802036435429404e-06,5.325691878992991e-06
24,20,1234,101,79,5.883247679719991e-06,6.703303103789421e-06,4.94009712791902e-06
24,20,1234,101,80,5.789639366424362e-06,6.0844446732694305e-06,4.891515243779334e-06
24,20,1234,101,81,5.564716439093748e-06,5.747123406913121e-06,4.519376863406077e-06
24,20,1234,101,82,5.2522775801840375e-06,5.486192926069885e-06,4.4099055639925395e-06
24,20,1234,101,83,5.168419594938036e-06,5.191578876253329e-06,4.180951723174352e-06
24,20,1234,101,84,5.052576735036697e-06,5.150563985709002e-06,4.046183185106853e-06
24,20,1234,101,85,4.810794470061572e-06,4.853576219989504e-06,3.844319929719651e-06
24,20,1234,101,86,4.808107373680041e-06,4.827983509084684e-06,3.714932859898509e-06
24,20,1234,101,87,4.483638837658808e-06,4.634489841161734e-06,3.6284007242386926e-06
24,20,1234,101,88,4.24509014569464e-06,4.44266169989417e-06,3.3472064183926926e-06
24,20,1234,101,89,4.094921307901232e-06,4.1305784084676345e-06,3.2308321573806855e-06
24,20,1234,101,90,4.0363605355876135e-06,3.94164698966101e-06,3.2054591240310908e-06
24,20,1234,101,91,3.905801084865006e-06,3.7855204411431104e-06,3.0070937546356215e-06
24,20,1234,101,92,3.5587812406248654e-06,3.751282752549881e-06,2.9443004380728834e-06
24,20,1234,101,93,3.482921994787495e-06,3.6240524317123764e-06,2.8582593366533793e-06
24,20,1234,101,94,3.400903933893083e-06,3.4176280322874056e-06,2.6994944950603543e-06
24,20,1234,101,95,3.0516833186051764e-06,3.3747257253318486e-06,2.518629857228977e-06
24,20,1234,101,96,2.9405622518047565e-06,3.0774778610210706e-06,2.429595888470404e-06
24,20,1234,101,97,2.861138577395491e-06,2.9792259769586134e-06,2.4061416569371272e-06
24,20,1234,101,98,2.8277077714366726e-06,2.8553866050591418e-06,2.2631945047225764e-06
24,20,1234,101,99,2.5733254280445746e-06,2.7173206043533445e-06,2.2072449141466535e-06
24,20,1234,101,100,2.481028402999046e-06,2.6186814575150824e-06,2.112405310944623e-06
24,20,1234,101,101,2.441853841688912e-06,2.57820947317061e-06,2.066412403596469e-06
24,20,1234,101,102,2.245356298113182e-06,2.528592258580459e-06,1.888049085211695e-06
24,20,1234,101,103,2.1745204055931216e-06,2.4504771450498992e-06,1.818840420262231e-06
24,20,1234,101,104,2.145574967129335e-06,2.4124158633745758e-06,1.7755740811331145e-06
24,20,1234,101,105,2.0538108027079465e-06,2.342856716546252e-06,1.7641430330215666e-06
24,20,1234,101,106,1.94811101996032e-06,2.0481607048754525e-06,1.646479258974981e-06
24,20,1234,101,107,1.9080414683490587e-06,1.9787239614482365e-06,1.582721542022407e-06
24,20,1234,101,108,1.8677905359929124e-06,1.926144967209336e-06,1.5492288468554272e-06
24,20,1234,101,109,1.750242477267866e-06,1.8465046439666768e-06,1.4687945577506985e-06
24,20,1234,101,110,1.7368175024213843e-06,1.8119326980334699e-06,1.3727026038001486e-06
24,20,1234,101,111,1.692854071714243e-06,1.7491135751352959e-06,1.3472771540254884e-06
24,20,1234,101,112,1.668251803337384e-06,1.7223368356937114e-06,1.334572926569782e-06
24,20,1234,101,113,1.51015785859386e-06,1.6743951207382734e-06,1.277890352755799e-06
24,20,1234,101,114,1.4502810918961977e-06,1.5975485706785324e-06,1.2164245688377157e-06
24,20,1234,101,115,1.4243149574513352e-06,1.565163845923201e-06,1.2086311676422511e-06
24,20,1234,101,116,1.4052266573957862e-06,1.454327749138001e-06,1.1421211756881015e-06
24,20,1234,101,117,1.3550056515947582e-06,1.408407830798858e-06,1.074795051709138e-06
24,20,1234,101,118,1.272900138151625e-06,1.4068739825796419e-06,1.061105478118374e-06
24,20,1234,101,119,1.2337839126653846e-06,1.327667683878713e-06,1.0360377620685566e-06
24,20,1234,101,120,1.1867208407494092e-06,1.295705950478304e-06,9.94818297676439e-07
24,20,1234,101,121,1.1619686643457547e-06,1.228847083656507e-06,9.544786212151802e-07
24,20,1234,101,122,1.1200321668665465e-06,1.2121078791972182e-06,9.475810093081613e-07
24,20,1234,101,123,1.0848602114256677e-06,1.2110553308277897e-06,9.034287178954581e-07
24,20,1234,101,124,1.0420265463199609e-06,1.174400043777673e-06,8.845807076999392e-07
24,20,1234,101,125,1.0343215179997587e-06,1.1461826010565996e-06,8.619454134330921e-07
24,20,1234,101,126,9.916393324209636e-07,1.088577068816227e-06,8.34995184640647e-07
24,20,1234,101,127,9.567108236155345e-07,1.063002674966191e-06,8.219070310049722e-07
24,20,1234,101,128,9.452333458596333e-07,1.0171317647444308e-06,7.957574512252255e-07
24,20,1234,101,129,9.281050991982704e-07,1.0097698413777553e-06,7.598087263339408e-07
24,20,1234,101,130,8.984446586088446e-07,9.991698214738406e-07,7.377475892285005e-07
24,20,1234,101,131,8.939758258821695e-07,9.434373463547455e-07,6.91283043737387e-07
24,20,1234,101,132,8.594844836400563e-07,9.199002133524372e-07,6.86581302958772e-07
24,20,1234,101,133,8.180490491797703e-07,9.02080114125911e-07,6.670596703602309e-07
24,20,1234,101,134,7.466992145116854e-07,8.766255754587823e-07,6.556108375980306e-07
24,20,1234,101,135,7.42085766269859e-07,8.663512682797006e-07,6.259130789460169e-07
24,20,1234,101,136,7.360846822779673e-07,8.493324633426157e-07,6.01272738478127e-07
24,20,1234,101,137,7.024523447156576e-07,8.226957746170426e-07,5.636007578834545e-07
24,20,1234,101,138,6.979132989718855e-07,7.761637905769022e-07,5.530258070942543e-07
24,20,1234,101,139,6.704524445337769e-07,7.544620885863645e-07,5.470395735879872e-07
24,20,1234,101,140,6.692611508342911e-07,7.471401896284094e-07,5.239520011031007e-07
24,20,1234,101,141,6.50253296375306e-07,7.218461034222996e-07,5.193364017906816e-07
24,20,1234,101,142,6.369007257295478e-07,7.163144921665895e-07,5.119482501955817e-07
24,20,1234,101,143,6.124371593049259e-07,6.864678542947093e-07,5.00236815759162e-07
24,20,1234,101,144,5.921656454886173e-07,6.70790490011461e-07,4.79002929734296e-07
24,20,1234,101,145,5.761009197662991e-07,6.520979687051154e-07,4.536919041657651e-07
24,20,1234,101,146,5.615944869454746e-07,6.16934058371292e-07,4.4686892642894574e-07
24,20,1234,101,147,5.576122533042562e-07,6.091902717550897e-07,4.416374238106747e-07
24,20,1234,101,148,5.317913113366332e-07,6.08316363180199e-07,4.339228823914606e-07
24,20,1234,101,149,5.28722507042669e-07,5.809209341301528e-07,4.1829924800360127e-07
24,20,1234,101,150,4.949432063552351e-07,5.701542300200286e-07,4.026248733726353e-07
24,20,1234,101,151,4.946743373816851e-07,5.605239235452248e-07,3.898745003920069e-07
24,20,1234,101,152,4.708553224688325e-07,5.490662667394302e-07,3.8402070735635713e-07
24,20,1234,101,153,4.538682275036268e-07,5.304861784958921e-07,3.695979251802813e-07
24,20,1234,101,154,4.5372779920363274e-07,5.168319319934965e-07,3.5438288975093973e-07
24,20,1234,101,155,4.416283908813441e-07,4.966683174534068e-07,3.526622245736337e-07
24,20,1234,101,156,4.302020369849322e-07,4.870401772569342e-07,3.44515655354728e-07
24,20,1234,101,157,4.2748174232596753e-07,4.683942119622544e-07,3.3048371859199013e-07
24,20,1234,101,158,4.2336629580771073e-07,4.665695706699974e-07,3.2554199469005574e-07
24,20,1234,101,159,4.0813681580344134e-07,4.5315724990139975e-07,3.209259023246867e-07
24,20,1234,101,160,3.95925826190724e-07,4.251396165980157e-07,3.052569395856565e-07
24,20,1234,101,161,3.9247089806369264e-07,4.2333682084340954e-07,2.97724522670405e-07
24,20,1234,101,162,3.905596720840043e-07,4.05880023260384e-07,2.9527630719451374e-07
24,20,1234,101,163,3.807585814613607e-07,4.001664580203873e-07,2.8978025556364973e-07
24,20,1234,101,164,3.698767230854076e-07,3.9338817309481517e-07,2.883506180880024e-07
24,20,1234,101,165,3.5566187752292757e-07,3.9103515887502807e-07,2.6909773054654877e-07
24,20,1234,101,166,3.434907213666715e-07,3.724670308355926e-07,2.579263856210678e-07
24,20,1234,101,167,3.2985121650139413e-07,3.64327216903542e-07,2.4965829865365087e-07
